event_ts,feature_key,scope,oblast,value_bool
2022-11-23T15:16:48+00:00,tu_95_takeoff,national,,true
2022-12-05T15:39:32+00:00,mass_attack_active,national,,true
2022-12-05T15:39:32+00:00,tu_95_takeoff,national,,true
2022-12-16T12:23:12+00:00,mass_attack_active,oblast,kyiv,true
2022-12-16T12:23:12+00:00,mig_31_airborne,national,,true
2022-12-16T12:23:12+00:00,tu_95_takeoff,national,,true
2022-12-20T15:01:34+00:00,mass_attack_active,national,,true
2022-12-29T07:01:35+00:00,mass_attack_active,national,,true
2022-12-29T16:45:19+00:00,mass_attack_active,national,,true
2022-12-29T16:45:19+00:00,tu_95_takeoff,national,,true
2022-12-30T09:08:48+00:00,mass_attack_active,oblast,kyiv,true
2022-12-31T11:04:41+00:00,mass_attack_active,oblast,kyiv,true
2022-12-31T15:37:45+00:00,tu_95_takeoff,national,,true
2023-01-02T06:24:26+00:00,mass_attack_active,national,,true
2023-01-14T16:58:29+00:00,mass_attack_active,national,,true
2023-01-14T16:58:40+00:00,mass_attack_active,national,,true
2023-01-14T16:58:40+00:00,tu_95_takeoff,national,,true
2023-01-26T11:22:56+00:00,mass_attack_active,national,,true
2023-01-26T11:23:22+00:00,mig_31_airborne,national,,true
2023-01-26T11:23:22+00:00,tu_95_takeoff,national,,true
2023-02-10T07:04:39+00:00,mass_attack_active,oblast,kharkiv,true
2023-02-10T07:04:39+00:00,tu_95_takeoff,national,,true
2023-02-10T11:59:22+00:00,mass_attack_active,national,,true
2023-02-10T11:59:22+00:00,tu_95_takeoff,national,,true
2023-02-10T13:38:03+00:00,mass_attack_active,oblast,khmelnytskyi,true
2023-02-11T12:48:20+00:00,mass_attack_active,oblast,vinnytsia,true
2023-02-16T05:49:01+00:00,mass_attack_active,national,,true
2023-02-16T05:49:01+00:00,tu_95_takeoff,national,,false
2023-02-23T14:42:38+00:00,mass_attack_active,national,,false
2023-03-09T07:16:14+00:00,mass_attack_active,national,,true
2023-03-09T07:16:14+00:00,mig_31_airborne,national,,true
2023-03-09T07:16:14+00:00,tu_95_takeoff,national,,true
2023-03-13T12:25:30+00:00,mig_31_airborne,national,,false
2023-03-14T16:20:56+00:00,mig_31_airborne,national,,true
2023-04-28T04:15:35+00:00,tu_95_takeoff,national,,false
2023-05-01T04:26:05+00:00,tu_95_takeoff,national,,false
2023-05-06T06:58:22+00:00,mig_31_airborne,national,,false
2023-05-06T07:42:31+00:00,mig_31_airborne,national,,false
2023-05-09T04:27:55+00:00,tu_95_takeoff,national,,true
2023-05-14T05:52:48+00:00,tu_95_takeoff,national,,true
2023-05-16T06:13:41+00:00,mig_31_airborne,national,,false
2023-05-18T06:07:01+00:00,tu_95_takeoff,national,,false
2023-05-22T05:29:31+00:00,tu_95_takeoff,national,,true
2023-05-26T05:22:03+00:00,tu_95_takeoff,national,,true
2023-05-29T05:35:50+00:00,tu_95_takeoff,national,,false
2023-06-02T06:20:41+00:00,tu_95_takeoff,national,,false
