pr_auc,roc_auc,f1_macro,n_pos,n,pos_rate,oblast,oblast_id,horizon,threshold,active
0.7054133044372256,0.5900041183972132,0.45820293770121245,2722,4201,0.647940993309021,Kharkiv,8,1,0.6,True
0.6813663878670114,0.5622385947969094,0.4053102391696988,2722,4201,0.647940993309021,Kharkiv,8,2,0.59,True
0.696732324159379,0.5788767543728954,0.4062123625104906,2721,4201,0.6477029323577881,Kharkiv,8,3,0.59,True
0.7017496197205834,0.5838562974143067,0.39863981454650826,2720,4201,0.6474648714065552,Kharkiv,8,4,0.55,True
0.7020100219664117,0.5841679161833631,0.3971078502574076,2719,4201,0.647226870059967,Kharkiv,8,5,0.55,True
0.7009968680114173,0.5775472148558229,0.39629587429815827,2719,4201,0.647226870059967,Kharkiv,8,6,0.5800000000000001,True
0.4663980372566305,0.6259945370585858,0.5757982658585572,1526,4201,0.3632468581199646,Kherson,9,1,0.6,True
0.3919359552871382,0.5521958329760782,0.5135181161147933,1526,4201,0.3632468581199646,Kherson,9,2,0.59,True
0.39138936501744503,0.5570621378964001,0.5229032851100568,1526,4201,0.3632468581199646,Kherson,9,3,0.59,True
0.3910320736021705,0.5579919403241018,0.4831837055835255,1526,4201,0.3632468581199646,Kherson,9,4,0.55,True
0.38910890216601185,0.556369716196519,0.4863194307130405,1526,4201,0.3632468581199646,Kherson,9,5,0.55,True
0.3898488203256978,0.5547469920850793,0.49373524022665516,1525,4201,0.3630087971687317,Kherson,9,6,0.5800000000000001,True
0.47854451704649165,0.8809736774853054,0.7846672657751761,301,4201,0.07164960354566574,Khmelnytskyi,10,1,0.6,True
0.29833401224027006,0.782357100264077,0.7033356410966491,301,4201,0.07164960354566574,Khmelnytskyi,10,2,0.59,True
0.2998202825766689,0.7568327796234772,0.6609918022289454,301,4201,0.07164960354566574,Khmelnytskyi,10,3,0.59,True
0.31245273183003625,0.7445847176079735,0.6832767890800151,301,4201,0.07164960354566574,Khmelnytskyi,10,4,0.55,True
0.34946320137779874,0.7358914728682171,0.6393496102469008,301,4201,0.07164960354566574,Khmelnytskyi,10,5,0.55,True
0.3118623497791353,0.7195451060567339,0.5693984521424118,301,4201,0.07164960354566574,Khmelnytskyi,10,6,0.5800000000000001,True
0.3676805820761579,0.6731412724839891,0.4907692898114451,886,4201,0.2109021693468094,Kirovohrad,11,1,0.6,True
